"","Keyword","Item.Title","Publication.Title","Book.Series.Title","Journal.Volume","Journal.Issue","Item.DOI","Authors","Publication.Year","URL","Content.Type","Kyeword"
"1","Carpogenic germination","Volatiles from biofumigant plants have a direct effect on carpogenic germination of sclerotia and mycelial growth of Sclerotinia sclerotiorum","Plant and Soil",NA,401,"2-Jan","10.1007/s11104-015-2742-8","Rachel WarmingtonJohn P. Clarkson",2016,"http://link.springer.com/article/10.1007/s11104-015-2742-8","Article",NA
"2","Carpogenic germination","The effects of herbicides and mycoparasites at different moisture levels on carpogenic germination in Sclerotinia sclerotiorum","Plant and Soil",NA,139,"1","10.1007/BF00012847","B. K. TeoP. R. VermaR. A. A. Morrall",1992,"http://link.springer.com/article/10.1007/BF00012847","Article",NA
"3","Carpogenic germination","Management of Congo grass cover crop affects timing of Sclerotinia sclerotiorum carpogenic germination and decay of soybean stem rot","Tropical Plant Pathology",NA,44,"1","10.1007/s40858-018-0268-3","Ederson A. CivardiClaudia A. GörgenVilmar A. RagagninAmérico N. da Silveira NetoLuciana C. CarneiroMurillo Lobo Jr.",2019,"http://link.springer.com/article/10.1007/s40858-018-0268-3","Article",NA
"4","Carpogenic germination","Carpogenic germination of Sclerotinia minor and potential distribution in Australia","Australasian Plant Pathology",NA,31,"3","10.1071/AP02022","M. G. EkinsE. A. B. AitkenK. C. Goulter",2002,"http://link.springer.com/article/10.1071/AP02022","Article",NA
"5","Carpogenic germination","The structure and histochemistry of sclerotia ofSclerotinia minor Jagger III. Changes in ultrastructure and loss of reserve materials during carpogenic germination","Protoplasma",NA,117,"3","10.1007/BF01281825","Suzanne BullockH. J. WillettsA. E. Ashford",1983,"http://link.springer.com/article/10.1007/BF01281825","Article",NA
"6","Carpogenic germination","Differential inhibition of sclerotial germination in Whetzelinia sclerotiorum","Mycopathologia",NA,57,"3","10.1007/BF00551423","James R. SteadmanKenneth W. Nickerson",1975,"http://link.springer.com/article/10.1007/BF00551423","Article",NA
"7","Carpogenic germination","Abiotic conditions governing the myceliogenic germination of Sclerotinia sclerotiorum allowing the basal infection of Brassica napus","Australasian Plant Pathology",NA,48,"2","10.1007/s13313-019-0613-0","David LaneMatthew Denton-GilesMark DerbyshireLars G. Kamphuis",2019,"http://link.springer.com/article/10.1007/s13313-019-0613-0","Article",NA
"8","Carpogenic germination","Antagonism of Trichoderma-based biofungicides against Brazilian and North American isolates of Sclerotinia sclerotiorum and growth promotion of soybean","BioControl",NA,65,"2","10.1007/s10526-019-09976-8","Andreia M. F. MacenaNilce N. KoboriGabriel M. MascarinJoão B. VidaGlen L. Hartman",2020,"http://link.springer.com/article/10.1007/s10526-019-09976-8","Article",NA
"9","Carpogenic germination","Agricultural diversification reduces the survival period of Sclerotinia sclerotiorum sclerotia","European Journal of Plant Pathology",NA,151,"3","10.1007/s10658-017-1405-4","Alexandre Dinnys RoeseGloria Soriano VidalWalmes Marques ZevianiAnibal de MoraesLouise Larissa May De Mio",2018,"http://link.springer.com/article/10.1007/s10658-017-1405-4","Article",NA
"10","Carpogenic germination","Inhibitory effect of natamycin against carrot white mold caused by Sclerotinia sclerotiorum","Tropical Plant Pathology",NA,45,"4","10.1007/s40858-020-00369-2","Seyedmohammadreza OjaghianLiang ZhangLing Wang",2020,"http://link.springer.com/article/10.1007/s40858-020-00369-2","Article",NA
