"","Keyword","Article.title","Authors","Journal.title","Volume","Issue","Pages","Volume.year","DOI","Published.online.date","URL","Keword"
"1","Carpogenic germination","Carpogenic germination of sclerotia of Sclerotinia minor and ascosporic infection of pyrethrum flowers","David H Gent, Frank S Hay, Thomas B O'Malley, Sarah J Pethybridge, Jason B Scott, Roger G Shivas","Canadian Journal of Plant Pathology","37","2","p179 - p187",2015,"10.1080/07060661.2015.1036122","24-Apr-15","https://doi.org/10.1080/07060661.2015.1036122",NA
"2","Carpogenic germination","Influence of matric potentials on carpogenic germination of sclerotia of Sclerotinia sclerotiorum. II. A comparison of results obtained with different techniques","RAA Morrall, BK Teo","Canadian Journal of Plant Pathology","7","4","p365 - p369",1985,"10.1080/07060668509501663","29-Dec-09","https://doi.org/10.1080/07060668509501663",NA
"3","Carpogenic germination","Effects of herbicides on in vitro growth and carpogenic germination of Sclerotinia sclerotiorum","RF Cerkauskas, DL McKenzie, RAA Morrall, PR Verma","Canadian Journal of Plant Pathology","8","2","p161 - p166",1986,"10.1080/07060668609501821","29-Dec-09","https://doi.org/10.1080/07060668609501821",NA
"4","Carpogenic germination","Effect of allyl alcohol and fermented agricultural wastes on carpogenic germination of sclerotia of Sclerotinia sclerotiorum and colonization by Trichoderma spp.","RS Erickson, HC Huang, J Huang, G Saindon","Canadian Journal of Plant Pathology","19","1","p43 - p46",1997,"10.1080/07060669709500570","23-Dec-09","https://doi.org/10.1080/07060669709500570",NA
"5","Carpogenic germination","Influence of matric potentials on carpogenic germination of sclerotia of Sclerotinia sclerotiorum. I. Development of an inclined box technique to observe apothecium production","RAA Morrall, BK Teo","Canadian Journal of Plant Pathology","7","4","p359 - p364",1985,"10.1080/07060668509501662","29-Dec-09","https://doi.org/10.1080/07060668509501662",NA
"6","Carpogenic germination","Water-assisted dissemination of conidia of the mycoparasite Coniothyrium minitans in soil","Hung-Chang Huang, Daohong Jiang, Guo Qing Li, Long Yang","Biocontrol Science and Technology","19","8","p779 - p796",2009,"10.1080/09583150903118486","4-Sep-09","https://doi.org/10.1080/09583150903118486",NA
"7","Carpogenic germination","Growth and reproduction of Sclerotinia trifoliorum as influenced by herbicides","S L Reichard, L H Rhodes, R M Sulc","Mycologia","89","1","p82 - p88",1997,"10.1080/00275514.1997.12026757","28-Aug-18","https://doi.org/10.1080/00275514.1997.12026757",NA
"8","Carpogenic germination","Survival and germination of shallow-buried sclerotia of Sclerotinia sclerotiorum in pastures in Canterbury","L M Foley, I C Harvey, D J Saville","New Zealand Journal of Agricultural Research","38","2","p279 - p284",1995,"10.1080/00288233.1995.9513127","17-Mar-10","https://doi.org/10.1080/00288233.1995.9513127",NA
"9","Carpogenic germination","Trichoderma asperelloides antagonism to nine Sclerotinia sclerotiorum strains and biological control of white mold disease in soybean plants","Lucas M Abreu, Ana Paula C S Araujod, Marcelo G Canteri, Juliana F S Daniel, Robert F H Dekker, Douglas C Peitl, Ciro H Sumida","Biocontrol Science and Technology","28","2","p142 - p156",2018,"10.1080/09583157.2018.1430743","31-Jan-18","https://doi.org/10.1080/09583157.2018.1430743",NA
"10","Carpogenic germination","The development-specific protein (Ssp1) from Sclerotinia sclerotiorum is encoded by a novel gene expressed exclusively in sclerotium tissues","Moyi Li, Jeffrey A Rollins","Mycologia","101","1","p34 - p43",2009,"10.3852/08-114","20-Jan-17","https://doi.org/10.3852/08-114",NA
"11","Carpogenic germination","First record of white rot on Ipomoea batatas caused by Sclerotinia sclerotiorum in China","Seyedmohammadreza Ojaghian, Lu Xie, Jing Xiong","Archives of Phytopathology and Plant Protection","Latest Articles","Latest Articles","p1 - p5",2020,"10.1080/03235408.2020.1832380","14-Oct-20","https://doi.org/10.1080/03235408.2020.1832380",NA
"12","Carpogenic germination","Abstracts of papers presented at the annual meeting of the Canadian Phytopathological Society University of Guelph, Guelph, Ontario 12-16 August 1985","","Canadian Journal of Plant Pathology","7","4","p442 - p450",1985,"10.1080/07060668509501677","29-Dec-09","https://doi.org/10.1080/07060668509501677",NA
