"","�..Key","Item.Type","Publication.Year","Author","Title","Publication.Title","ISBN","ISSN","DOI","Url","Abstract.Note","Date","Date.Added","Date.Modified","Access.Date","Pages","Num.Pages","Issue","Volume","Number.Of.Volumes","Journal.Abbreviation","Short.Title","Series","Series.Number","Series.Text","Series.Title","Publisher","Place","Language","Rights","Type","Archive","Archive.Location","Library.Catalog","Call.Number","Extra","Notes","File.Attachments","Link.Attachments","Manual.Tags","Automatic.Tags","Editor","Series.Editor","Translator","Contributor","Attorney.Agent","Book.Author","Cast.Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed.Author","Scriptwriter","Words.By","Guest","Number","Edition","Running.Time","Scale","Medium","Artwork.Size","Filing.Date","Application.Number","Assignee","Issuing.Authority","Country","Meeting.Name","Conference.Name","Court","References","Reporter","Legal.Status","Priority.Numbers","Programming.Language","Version","System","Code","Code.Number","Section","Session","Committee","History","Legislative.Body"
"1","S58PX4AY","journalArticle",2020,"Ojaghian, Seyedmohammadreza; Wang, Ling; Zhang, Liang","Inhibitory effect of sirolimus against white rot of Brassica juncea var. tumida","Scientia Horticulturae",NA,"0304-4238","10.1016/j.scienta.2020.109484","http://www.sciencedirect.com/science/article/pii/S0304423820303125","White rot, caused by Sclerotinia sclerotiorum (Lib.) de Bary, has recently become a serious threat to tuber mustard (Brassica juncea var. tumida) cultivation in Hangzhou and other mustard growing parts of Zhejiang province, China. This study was conducted to evaluate the inhibitory effect of sirolimus, a natural macrolide compound, against white rot of mustard tuber caused by S. sclerotiorum in vitro and in vivo. The results showed that sirolimus was able to reduce the mycelial growth, sclerogenesis as well as myceliogenic and carpogenic germinations of three isolates of the pathogen. Application of sirolimus markedly increased activity of β-N-acetyl hexosaminidase, endochitinase and β -1,3-glucanase in plant leaves. Moreover, a significant increase was observed in the level of polyphenoloxidase and peroxidase in plant leaves two and four days after application of sirolimus. The results of in vitro tests showed that sirolimus at the concentration of 100 nM completely inhibited disease severity. The treatment with sirolimus enhanced relative conductivity of S. sclerotiorum mycelia over time compared with control. An increase of carbohydrate leakage was observed in the pathogen mycelia incubated with sirolimus. The content of methane dicarboxylic aldehyde (MDA) markedly increased at 5 h and the highest MDA content was observed after 20 h. Due to exposure to sirolimus, a decrease percentage of catalase activity was observed in pathogen mycelia. In conclusion, this study showed that sirolimus can be considered as an effective substance against white rot of tuber mustard caused by S. sclerotiorum.","2020-09-20","2021-01-12 07:35:17","2021-01-12 07:35:17",NA,"109484",NA,NA,271,NA,"Scientia Horticulturae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carpogenic; Endochitinase; MDA; Peroxidase; Sirolimus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","CCQPQL2N","journalArticle",2004,"Savchuk, Sarah; Dilantha Fernando, W.G.","Effect of timing of application and population dynamics on the degree of biological control of Sclerotinia sclerotiorum by bacterial antagonists","FEMS Microbiology Ecology",NA,"0168-6496","10.1016/j.femsec.2004.04.014","http://www.sciencedirect.com/science/article/pii/S0168649604001503","Antagonistic Pseudomonas spp. (DF-41 and PA-23) were evaluated for inhibition of germination of ascospores, and for the effect of timing of application and its effect on biological control of Sclerotinia sclerotiorum (Lib.) de Bary, causal agent of stem rot of canola. Population dynamics were also assessed. In all studies, a petal inoculation technique was used. Significant inhibition (P<0.05) of germination of ascospores was observed at both log 4 and log 8 cfu (colony forming units) ml−1 of bacterial populations. In the population study, the pathogen had no significant effect (P<0.05) on bacterial populations; however, a significant (P<0.05) increase in bacterial populations was observed after 24 h and a decrease occurred between 96 and 120 h. Significant differences in disease severity (P<0.05) were found with respect to timing of ascospore applications in the control treatments (ascospores only). One isolate completely suppressed disease when co-applied with ascospores, while only minor suppression occurred when applied 24 or 48 h after. Results from all studies indicate PA-23 and DF-41 to be effective biocontrol agents against S. sclerotiorum of canola and to have practical implications for biological control of this disease by bacteria in the field.","2004-09-01","2021-01-12 07:35:18","2021-01-12 07:35:18",NA,"379-388",NA,3,49,NA,"FEMS Microbiology Ecology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biological control; Bacterial antagonism; Fungal germination; Population dynamics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","RX48KTUK","journalArticle",1991,"Huasg, H.C.; Sun, S.K.","Effects of S-H mixture or perlkaTM on carpogenic germination and survival of sclerotia of Sclerotinia sclerotiorum","Soil Biology and Biochemistry",NA,"0038-0717","10.1016/0038-0717(91)90090-7","http://www.sciencedirect.com/science/article/pii/0038071791900907","A study under controlled environments revealed that amendment of soil by S-H mixture (a formulated product for control of soil-borne plant pathogens) and PerlkaTM (calcium cyanamide) effectively controlled the soilborne pathogen Sclerotinia sclerotiorum (Lib.) de Bary. Over 70% of sclcrotia remained viable after 3 weeks of burial in untreated, non-autoclavcd soils. In contrast, viability of sclerotia was reduced to < 48 and 20% in the soil amended with 1 and 2% S-H mixture, respectively, and to 0% in the soil amended with 0.6–2% PerlkaTM. Amended soils also effectively controlled carpogenic germination and production of apothecia from sclerotia of S. sclerotiorum. Whereas 2% S-H mixture or 0.6% PerlkaTM was highly inhibitory to S. sclerotiorum, it was stimulating to Fusarium spp. Amendment of soil with l or 2% PerlkaTM for 3 weeks stimulated the growth of bacteria but completely suppressed the growth of fungi including S. sclerotiorum and Fusarium spp.","1991-01-01","2021-01-12 07:35:18","2021-01-12 07:35:18",NA,"809-813",NA,9,23,NA,"Soil Biology and Biochemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","RAUTJEE2","journalArticle",1998,"Williams, Roger H.; Whipps, John M.; Cooke, Roderic C.","Role of soil mesofauna in dispersal of Coniothyrium minitans: mechanisms of transmission","Soil Biology and Biochemistry",NA,"0038-0717","10.1016/S0038-0717(98)00064-9","http://www.sciencedirect.com/science/article/pii/S0038071798000649","Soil mesofauna are thought to play a role in the dispersal of Coniothyrium minitans Campbell but the mechanisms of transmission are unclear. The mite Acarus siro L. and the collembolan Folsomia candida Willem are known to be able to transmit the mycoparasite to uninfected sclerotia of Sclerotinia sclerotiorum (Lib.) de Bary in soil, and consequently the mechanisms of transmission of the mycoparasite by these animals have been investigated in detail. To facilitate this work, a novel method for surface sterilising mites was developed. In an initial investigation, A. siro was found to carry inoculum externally and in the gut. Indeed, almost all faecal pellets collected from either A. siro or F. candida, following feeding on C. minitans, contained germinable inoculum of the mycoparasite. Microscopic examination showed that faeces from these animals consisted mainly of conidia or fragments of conidium, but that only intact conidia gave rise to growth of C. minitans. Passage through the gut of either animal reduced percentage germination of conidia to 11 and 60% in mite and collembolan faeces, respectively, compared to 99% in controls not subjected to gut passage. In addition, germination in mite faeces was delayed by approximately 12h compared to controls. However, subsequent germ tube extension from surviving conidia appeared unaffected by gut passage. Individual faecal pellets of A. siro were found to contain sufficient inoculum of the mycoparasite to initiate infection of sclerotia in moist sterile sand and non-sterile soil. The relevance of these results to the glasshouse and field situation is discussed.","1998-12-01","2021-01-12 07:35:18","2021-01-12 07:35:18",NA,"1937-1945",NA,14,30,NA,"Soil Biology and Biochemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","GL3HSF7P","journalArticle",2010,"Liang, Yue; Rahman, Muhammad H.; Strelkov, Stephen E.; Kav, Nat N.V.","Developmentally induced changes in the sclerotial proteome of Sclerotinia sclerotiorum","Fungal Biology",NA,"1878-6146","10.1016/j.funbio.2010.05.003","http://www.sciencedirect.com/science/article/pii/S1878614610000723","Sclerotinia sclerotiorum (Lib.) de Bary is a necrotrophic fungal phytopathogen with a broad host range. The fungus produces sclerotia, long-term survival and dissemination structures that serve as the primary source of inoculum during seasonal crop infection cycles. Herein, we report the first proteomics-based analysis of sclerotial development. A total of 88 protein spots were observed by two-dimensional gel electrophoresis (2-DE) to exhibit significant temporal differences in abundance at three representative stages of sclerotial development, and the identities of these proteins were established using LC-MS/MS. The proteins were classified into several functional categories including metabolism, energy, transcription and protein fate, cell defense, differentiation, and proteins with as of yet unknown functions. In addition, proteins involved in the process of melanogenesis were found to be differentially abundant during sclerotial development, as was the development-specific protein, Ssp. This study provides a starting point towards achieving a comprehensive understanding of the proteins and molecular events associated with sclerotial development.","2010-08-01","2021-01-12 07:35:19","2021-01-12 07:35:19",NA,"619-627",NA,8,114,NA,"Fungal Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sclerotia; Development; Exudate; Necrotrophic; Proteome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","L8TG3LWB","journalArticle",2020,"Gupta, Navin Chandra; Sharma, Pankaj; Rao, Mahesh; Rai, Pramod Kumar; Gupta, Ashish Kumar","Evaluation of non-injury inoculation technique for assessing Sclerotinia stem rot (Sclerotinia sclerotiorum) in oilseed Brassica","Journal of Microbiological Methods",NA,"0167-7012","10.1016/j.mimet.2020.105983","http://www.sciencedirect.com/science/article/pii/S0167701220304358","The field assessment technique to evaluate the plants with a fungal phytopathogen for their tolerance to the disease is one of the crucial steps in dissecting their genetic control and in developing the resistant crop varieties. The objective behind this study was to develop and evaluate a field-based non-injury method of inoculation technique for Sclerotinia stem rot (SSR) in oilseed Brassica, caused by Sclerotinia sclerotiorum (Lib.) de Bary. The non-injury method of screening technique involves stem inoculation using a five days old mycelial mat on potato dextrose agar (PDA) plug placed on the top of sterile water-soaked cotton pad firmly wrapped over the internodal region with parafilm at the basal portion of the stem (15–20 cm above the ground) in the field. Inoculation without injury substantiates the natural means of infection in the field and the use of moist cotton pad keeps humidity for longer to initiate infection even in case of adverse climatic conditions. Disease development on the inoculated stem was measured by the length and width of the lesion. The symptom appears with water-soaked lesion formation and spreading deeper and wider on the stem in >90% of inoculated plants. During the experiment, about 800 Brassica germplasms including their wild relatives were screened and evaluated for three consecutive years using near-natural (non-injury) method of disease inoculation in the field. The Inoculation severity index (ISI) obtained during these years at Pusa, New Delhi were significantly similar and correlated with the natural infection measured in terms of disease severity index (DSI) on selected germplasm in the sick plot at ICAR-DRMR, Bharatpur. The significant correlations obtained among the used Brassica lines that were earlier not subjected for natural screening suggest the potential of this technique in evaluating the breeding material for SSR before confirmation with natural infection in the field.","2020-08-01","2021-01-12 07:35:20","2021-01-12 07:35:20",NA,"105983",NA,NA,175,NA,"Journal of Microbiological Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Resistance; Inoculation; Lesion; Oilseed Brassica; Sclerotinia stem rot (SSR)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","4MJLJ84S","journalArticle",2006,"Duncan, Robert W.; Dilantha Fernando, W.G.; Rashid, Khalid Y.","Time and burial depth influencing the viability and bacterial colonization of sclerotia of Sclerotinia sclerotiorum","Soil Biology and Biochemistry",NA,"0038-0717","10.1016/j.soilbio.2005.05.003","http://www.sciencedirect.com/science/article/pii/S0038071705001987","Sclerotia are the primary over wintering inoculum of Sclerotinia sclerotiorum (Lib.) de Bary. The effects of tillage on the primary inoculum are not well understood. The purpose of this research was to study sclerotial viability over time and between burial depths in soil, to identify bacteria colonizing and degrading the sclerotia, and determine whether these bacteria may be utilized as biological control agents. Correlation analysis indicated that a significant negative relationship existed between sclerotial viability and elapsed temporal factors (R2=−0.68, P<0.0001), and depth of burial (R2=−0.58, P<0.0001). After twelve months, sclerotia on the soil surface had the highest viability (57.5%), followed by those at the 5cm depth (12.5%), and only 2.5% of those placed at the 10cm depth remained viable. A significant negative relationship between sclerotial viability and bacterial populations also existed (R2=−0.60, P<0.0001). Two hundred and sixty-eight bacteria were isolated from sclerotia, 29 of which showed strong in vitro antagonism to the mycelial growth of S. sclerotiorum. Biodiversity of the inhibitory bacterial isolates was minimal on sclerotia from the soil surface and within all depths sampled at three months (i.e. in January). All burial depths within the April and July sampling dates produced bacterial diversities that were distinct from each other.","2006-02-01","2021-01-12 07:35:20","2021-01-12 07:35:20",NA,"275-284",NA,2,38,NA,"Soil Biology and Biochemistry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biological control; Bacteria colonization; Sclerotia viability; Tillage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","KZSN6YID","journalArticle",2018,"Pan, Yuemin; Wei, Junjun; Yao, Chuanchun; Reng, Hengxue; Gao, Zhimou","SsSm1, a Cerato-platanin family protein, is involved in the hyphal development and pathogenic process of Sclerotinia sclerotiorum","Plant Science",NA,"0168-9452","10.1016/j.plantsci.2018.02.001","http://www.sciencedirect.com/science/article/pii/S0168945217307616","The filamentous fungus Sclerotinia sclerotiorum is an important plant pathogen with a worldwide distribution. It can infect a wide variety of plants, causing serious disease in many types of crops, such as rapeseed, sunflower and soybean. Sclerotinia stem rot caused by this fungus affects main crops and has led to great economic loss. Elicitors are a group of compounds that inspire the host plant to produce an immune response against invading pathogens. This study describes a protein that has high homology with the Trichoderma elicitor Sm1 and was found in the genome of S. sclerotiorum. We named this protein SsSm1. To determine whether this protein has an elicitor function like its homology protein, we constructed a heterologous expression vector for SsSm1 and expressed it in Escherichia coli. The protein of heterologous expression led to the formation of lesions in tobacco that closely resemble hypersensitive response lesions. Transient expression of the encoding gene of SsSm1 in tobacco leaves also caused hypersensitive response. Then, RNA silencing was used to identify the function of SsSm1. The hyphal growth and pathogenicity of silenced transformants were shown to be obviously lagging and branched abnormally. Transformants produced less infection cushions and deformed sclerotiorum. In addition, SsSm1 silencing caused weak tolerance to NaCl, sorbitol and SDS, and the sensitivity of mutants to carbendazim was also significantly decreased. Based on the above results, we speculate that this protein may be related to the development of hyphae, infection cushions and sclerotiorum, but the specific molecular mechanism needs to be studied further.","2018-05-01","2021-01-12 07:35:20","2021-01-12 07:35:20",NA,"37-46",NA,NA,270,NA,"Plant Science",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Lib.) de Bary; Cerato-platanin; Elicitor; HR; RNAi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ALRNS3DX","journalArticle",2017,"Sun, Guangzheng; Yao, Tuo; Feng, Chanjing; Chen, Long; Li, Jianhong; Wang, Lide","Identification and biocontrol potential of antagonistic bacteria strains against Sclerotinia sclerotiorum and their growth-promoting effects on Brassica napus","Biological Control",NA,"1049-9644","10.1016/j.biocontrol.2016.10.008","http://www.sciencedirect.com/science/article/pii/S1049964416302146","In order to assess the potential of plant growth promoting rhizobacteria (PGPR) to protect rapeseed plants against Sclerotinia sclerotiorum (Lib.) de Bary, antifungal properties and growth-promoting effects of PGPR were evaluated. Phosphate solubilization, nitrogenase and IAA secretion of 19 strains were tested. Out of 19 strains, 13 could solubilize phosphate (3.79–204.74mg/L), 10 strains produced IAA (4.34–54.36mg/L) and 14 strains had nitrogenase activity (7.14–246.46nmol/mL·h). All strains were tested for their antagonism against S. sclerotiorum in vitro based on panel confrontation method. Strain LHS11 efficiently antagonized S. sclerotiorum and its inhibition rate reached 85.71%. In greenhouse experiments, the control efficiency of compound inoculant (LHS11+FX2) reached 80.51%. The compound inoculant significantly increased the plant height (217.76mm), shoot fresh weight (1.7794g), root fresh weight (0.0495g) and root dry weight (0.0086g). Based on 16S rDNA sequence alignment and several biochemical and physiological characteristics, strains LHS11 and FX2 were identified as Bacillus subtilis. Therefore, these results strongly suggested that B. subtilis LHS11 and FX2 are promising biocontrol and growth-promoting agents in rapeseed plants.","2017-01-01","2021-01-12 07:35:21","2021-01-12 07:35:21",NA,"35-43",NA,NA,104,NA,"Biological Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control efficiency; Growth promoting function; Identification; Plant growth promoting rhizobacteria (PGPR)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","F6S7DUJ5","journalArticle",2016,"Doughan, Benjamin; Rollins, Jeffrey A.","Characterization of MAT gene functions in the life cycle of Sclerotinia sclerotiorum reveals a lineage-specific MAT gene functioning in apothecium morphogenesis","Fungal Biology",NA,"1878-6146","10.1016/j.funbio.2016.06.007","http://www.sciencedirect.com/science/article/pii/S1878614616300721","Sclerotinia sclerotiorum (Lib.) de Bary is a phytopathogenic fungus that relies on the completion of the sexual cycle to initiate aerial infections. The sexual cycle produces apothecia required for inoculum dispersal. In this study, insight into the regulation of apothecial multicellular development was pursued through functional characterization of mating-type genes. These genes are hypothesized to encode master regulatory proteins required for aspects of sexual development ranging from fertilization through fertile fruiting body development. Experimentally, loss-of-function mutants were created for the conserved core mating-type genes (MAT1-1-1, and MAT1-2-1), and the lineage-specific genes found only in S. sclerotiorum and closely related fungi (MAT1-1-5, and MAT1-2-4). The MAT1-1-1, MAT1-1-5, and MAT1-2-1 mutants are able to form ascogonia but are blocked in all aspects of apothecium development. These mutants also exhibit defects in secondary sexual characters including lower numbers of spermatia. The MAT1-2-4 mutants are delayed in carpogenic germination accompanied with altered disc morphogenesis and ascospore production. They too produce lower numbers of spermatia. All four MAT gene mutants showed alterations in the expression of putative pheromone precursor (Ppg-1) and pheromone receptor (PreA, PreB) genes. Our findings support the involvement of MAT genes in sexual fertility, gene regulation, meiosis, and morphogenesis in S. sclerotiorum.","2016-09-01","2021-01-12 07:35:21","2021-01-12 07:35:21",NA,"1105-1117",NA,9,120,NA,"Fungal Biology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fungus; Pathogen; Development; Ascomycete; Fruiting body; Mating-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
